"Date","HomeTeam","AwayTeam","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR"
"29/08/09","Real Madrid","La Coruna","Home Win",2,1,"H",28,9,11,3,18,12,10,3,2,2,0,0
"29/08/09","Zaragoza","Tenerife","Home Win",0,0,"D",17,16,8,2,16,17,7,8,1,4,0,0
"30/08/09","Almeria","Valladolid","Draw",0,0,"D",20,7,5,1,9,11,12,2,2,2,0,1
"30/08/09","Malaga","Ath Madrid","Home Win",1,0,"H",8,16,4,3,16,8,4,5,4,4,0,0
"30/08/09","Mallorca","Xerez","Home Win",0,0,"D",10,7,3,3,14,13,6,6,3,1,0,2
"30/08/09","Osasuna","Villarreal","Draw",1,1,"D",7,11,2,7,18,14,4,14,2,2,0,0
"30/08/09","Santander","Getafe","Away Win",1,3,"A",4,9,3,6,14,10,4,5,2,3,0,0
"31/08/09","Barcelona","Sp Gijon","Home Win",2,0,"H",20,9,9,5,10,12,9,7,0,2,0,0
"12/09/09","Espanol","Real Madrid","Away Win",0,1,"A",12,17,3,6,17,17,4,6,2,2,0,0
"12/09/09","Getafe","Barcelona","Away Win",0,0,"D",19,14,3,9,15,19,2,5,3,0,0,0
"12/09/09","Sevilla","Zaragoza","Home Win",2,1,"H",19,10,8,2,24,20,5,2,3,3,0,0
"13/09/09","La Coruna","Malaga","Home Win",0,0,"D",15,11,4,2,16,10,4,4,2,5,0,0
"13/09/09","Sp Gijon","Almeria","Home Win",1,0,"H",16,7,4,0,20,20,2,3,3,4,0,0
"13/09/09","Tenerife","Osasuna","Home Win",0,0,"D",16,7,5,3,17,16,5,6,1,3,0,2
"13/09/09","Valladolid","Valencia","Away Win",1,3,"A",14,15,9,6,10,15,2,3,1,2,0,0
"13/09/09","Villarreal","Mallorca","Draw",0,0,"D",15,8,5,4,15,24,5,3,1,2,0,0
"13/09/09","Xerez","Ath Bilbao","Away Win",0,1,"A",17,15,4,5,14,17,7,3,4,3,1,0
"19/09/09","Barcelona","Ath Madrid","Home Win",4,1,"H",8,14,6,4,8,17,7,8,1,3,0,0
"19/09/09","Malaga","Santander","Away Win",0,1,"A",20,7,6,3,17,25,6,0,3,5,0,0
"19/09/09","Mallorca","Tenerife","Home Win",1,0,"H",16,10,9,2,19,15,3,5,1,2,0,2
"19/09/09","Osasuna","Sevilla","Away Win",0,1,"A",11,10,3,4,13,18,9,9,4,4,1,0
"20/09/09","Almeria","Getafe","Home Win",0,0,"D",11,23,3,11,19,13,4,12,4,3,0,0
"20/09/09","Real Madrid","Xerez","Home Win",1,0,"H",23,11,13,3,13,11,7,7,0,1,0,0
"20/09/09","Valencia","Sp Gijon","Draw",1,1,"D",25,6,10,5,21,11,8,1,4,2,0,1
"20/09/09","Zaragoza","Valladolid","Away Win",1,1,"D",18,9,5,4,14,18,11,2,0,2,0,0
"22/09/09","Santander","Barcelona","Away Win",0,3,"A",4,20,2,6,10,10,2,3,4,1,0,0
"22/09/09","Sevilla","Mallorca","Home Win",2,0,"H",10,8,6,4,24,21,4,5,1,1,0,0
"23/09/09","Ath Madrid","Almeria","Draw",1,1,"D",24,12,9,7,24,13,7,7,3,2,0,0
"23/09/09","Espanol","Malaga","Home Win",0,1,"A",12,15,5,9,14,13,11,7,2,4,0,0
"23/09/09","Getafe","Valencia","Home Win",2,1,"H",16,8,6,2,4,16,4,10,2,4,0,0
"23/09/09","Tenerife","Ath Bilbao","Home Win",0,0,"D",21,5,8,3,24,21,8,2,3,6,0,0
"23/09/09","Valladolid","Osasuna","Away Win",0,1,"A",10,10,1,3,23,15,4,3,3,3,2,0
"24/09/09","Sp Gijon","Zaragoza","Draw",1,0,"H",13,13,5,5,12,19,5,8,2,2,0,0
"26/09/09","Ath Bilbao","Sevilla","Away Win",0,3,"A",13,16,3,8,21,13,4,3,2,2,1,0
"26/09/09","Malaga","Barcelona","Away Win",0,1,"A",3,11,0,6,16,17,3,1,3,3,1,0
"26/09/09","Valencia","Ath Madrid","Draw",2,1,"H",15,15,7,3,15,10,13,5,2,1,0,0
"27/09/09","Almeria","Santander","Draw",1,0,"H",13,13,4,6,14,19,7,4,3,2,0,0
"27/09/09","Mallorca","Valladolid","Home Win",1,0,"H",13,6,8,0,17,19,9,5,0,0,0,0
"27/09/09","Osasuna","Sp Gijon","Home Win",0,0,"D",12,9,2,0,14,18,5,1,1,3,0,0
"27/09/09","Zaragoza","Getafe","Home Win",2,0,"H",19,12,10,4,15,8,5,3,2,2,0,0
"03/10/09","Ath Madrid","Zaragoza","Home Win",1,0,"H",16,14,6,4,17,14,6,12,6,3,0,0
"03/10/09","Barcelona","Almeria","Home Win",1,0,"H",17,0,7,0,18,14,10,3,3,3,0,0
"03/10/09","Tenerife","La Coruna","Away Win",0,0,"D",17,11,4,5,20,13,6,9,2,1,0,0
"04/10/09","Santander","Valencia","Away Win",0,0,"D",18,7,6,2,21,20,6,1,1,3,0,0
"04/10/09","Sevilla","Real Madrid","Home Win",1,0,"H",24,17,10,3,20,9,14,6,4,3,0,0
"04/10/09","Sp Gijon","Mallorca","Home Win",0,1,"A",19,8,8,2,9,14,3,4,2,1,0,0
"04/10/09","Valladolid","Ath Bilbao","Draw",0,1,"A",19,9,4,3,15,9,14,5,3,4,2,1
"04/10/09","Villarreal","Espanol","Draw",0,0,"D",15,5,6,0,13,23,14,1,3,3,0,1
"04/10/09","Xerez","Malaga","Draw",0,0,"D",6,18,3,4,14,22,4,8,3,2,0,1
"17/10/09","La Coruna","Sevilla","Home Win",1,0,"H",9,10,2,1,10,19,3,5,0,1,0,0
"18/10/09","Ath Bilbao","Sp Gijon","Away Win",0,0,"D",17,9,2,3,16,21,5,3,4,3,0,0
"18/10/09","Espanol","Tenerife","Home Win",1,1,"D",15,8,7,4,11,14,5,2,2,4,0,0
"18/10/09","Malaga","Almeria","Away Win",0,2,"A",16,18,5,7,23,18,6,3,4,3,0,0
"18/10/09","Mallorca","Getafe","Home Win",1,0,"H",14,14,8,4,26,24,7,5,3,3,0,0
"18/10/09","Osasuna","Ath Madrid","Home Win",3,0,"H",14,20,6,5,19,18,8,7,1,3,0,0
"18/10/09","Xerez","Villarreal","Home Win",1,1,"D",11,13,3,6,16,14,3,4,2,3,0,1
"18/10/09","Zaragoza","Santander","Draw",2,0,"H",17,14,4,3,11,13,6,7,2,3,1,0
"24/10/09","Sevilla","Espanol","Draw",0,0,"D",28,8,8,1,13,19,11,0,2,5,0,1
"24/10/09","Sp Gijon","Real Madrid","Draw",0,0,"D",10,13,2,5,20,10,3,7,2,4,0,0
